predictor,feature,feature_group,feature_mse
global_mean,pix_010,pix,0.9625319838523865
global_mean,pix_011,pix,0.9537771344184875
global_mean,pix_012,pix,0.9460080862045288
global_mean,pix_013,pix,0.9421972036361694
global_mean,pix_014,pix,1.0159993171691895
global_mean,pix_015,pix,1.0399558544158936
global_mean,pix_016,pix,1.0465511083602905
global_mean,pix_017,pix,1.0036700963974
global_mean,pix_018,pix,1.009878396987915
global_mean,pix_019,pix,0.9839893579483032
global_mean,pix_020,pix,0.9695935845375061
global_mean,pix_021,pix,0.9113441705703735
global_mean,pix_022,pix,1.0396144390106201
global_mean,pix_023,pix,1.0569342374801636
global_mean,pix_024,pix,1.0628918409347534
global_mean,pix_025,pix,0.9949198365211487
global_mean,pix_026,pix,0.974195122718811
global_mean,pix_027,pix,0.9933539628982544
global_mean,pix_028,pix,0.9847057461738586
global_mean,pix_029,pix,0.9844416975975037
global_mean,pix_030,pix,1.027637004852295
global_mean,pix_031,pix,0.9769883751869202
global_mean,pix_032,pix,1.0240901708602905
global_mean,pix_033,pix,0.9992653131484985
global_mean,pix_034,pix,1.011318564414978
global_mean,pix_035,pix,0.9892520308494568
global_mean,pix_036,pix,0.9648172855377197
global_mean,pix_037,pix,0.9842682480812073
global_mean,pix_038,pix,0.9769645929336548
global_mean,pix_039,pix,1.0133674144744873
global_mean,pix_040,pix,1.0185556411743164
global_mean,pix_041,pix,0.9654799699783325
global_mean,pix_042,pix,0.9632750153541565
global_mean,pix_043,pix,1.0478767156600952
global_mean,pix_044,pix,0.9149603247642517
global_mean,pix_045,pix,0.9543837904930115
global_mean,pix_046,pix,0.9906267523765564
global_mean,pix_047,pix,1.028562307357788
global_mean,pix_048,pix,1.0492324829101562
global_mean,pix_049,pix,0.9841567277908325
global_mean,pix_050,pix,1.0157736539840698
global_mean,pix_051,pix,0.9810956716537476
global_mean,pix_052,pix,0.9712099432945251
global_mean,pix_053,pix,0.9940837621688843
global_mean,pix_054,pix,1.0047117471694946
global_mean,pix_055,pix,1.0472207069396973
global_mean,pix_056,pix,1.0023388862609863
global_mean,pix_057,pix,1.0044963359832764
global_mean,pix_058,pix,1.0015928745269775
global_mean,pix_059,pix,1.0282024145126343
global_mean,pix_060,pix,1.0282622575759888
global_mean,pix_061,pix,1.0169434547424316
global_mean,pix_062,pix,1.0143529176712036
global_mean,pix_063,pix,1.0341938734054565
global_mean,pix_064,pix,1.0366978645324707
global_mean,pix_065,pix,1.0277303457260132
global_mean,pix_066,pix,0.9912698268890381
global_mean,pix_067,pix,1.0260711908340454
global_mean,pix_068,pix,1.0220825672149658
global_mean,pix_069,pix,1.0214028358459473
global_mean,pix_070,pix,1.0311187505722046
global_mean,pix_071,pix,0.9679690599441528
global_mean,pix_072,pix,0.9917706251144409
